Prscrbr_Geo_Desc,Brnd_Name,Opioid_Drug_Flag,Total_Claims,Total_Cost,Cost_Per_Claim,Claims_Per_Prescriber,Cost_Per_Patient,Cluster,Is_Suspicious
Colorado,Vyndamax,N,1830,45319254.24,24764.61980327869,21.785714285714285,213770.06716981134,3,1
Colorado,Vyndaqel,N,202,4969283.19,24600.41183168317,9.619047619047619,127417.51769230771,3,1
Colorado,Xpovio,N,45,1234919.32,27442.651555555556,3.0,64995.75368421053,3,1
Colorado,Xtampza Er,Y,9295,5512518.98,593.0628273265197,10.467342342342342,4092.4417074981443,1,1
Colorado,Xywav,N,148,2559480.71,17293.78858108108,11.384615384615385,159967.544375,3,1
Connecticut,Adempas,N,451,6288225.1,13942.849445676275,30.066666666666666,116448.61296296296,3,1
Connecticut,Amlodipine Besylate,N,623881,3982892.78,6.384058466278024,77.645426260112,25.763233072007036,0,1
Connecticut,Apokyn,N,64,1945408.37,30397.00578125,8.0,149646.7976923077,3,1
Connecticut,Atorvastatin Calcium,N,896128,8443823.42,9.4225639863948,116.123882337696,38.59627751139309,0,1
Connecticut,Belbuca,Y,4476,3588874.64,801.8039857015192,21.6231884057971,4957.009171270718,1,1
Connecticut,Bexarotene,N,513,2643907.66,5153.816101364523,42.75,37238.13605633803,2,1
Connecticut,Buprenorphine,Y,5850,1333996.5,228.03358974358974,14.661654135338345,1119.1245805369128,1,1
Connecticut,Butalb-Acetaminoph-Caff-Codein,Y,806,92700.47,115.01299007444169,5.676056338028169,707.6371755725191,1,1
Connecticut,Butrans,Y,332,144827.85,436.2284638554217,4.676056338028169,2068.969285714286,1,1
Connecticut,Cabometyx,N,533,12590686.58,23622.301275797374,7.0131578947368425,131152.98520833332,3,1
Connecticut,Camzyos,N,970,7868249.13,8111.597041237113,46.19047619047619,65568.74275,3,1
Connecticut,Cerdelga,N,184,5379875.26,29238.4525,61.333333333333336,268993.763,3,1
Connecticut,Dilaudid,Y,38,14536.49,382.5392105263158,1.8095238095238095,807.5827777777778,1,1
Connecticut,Eliquis,N,346855,321793847.52,927.7474665782531,44.92358502784614,4743.353540189561,0,1
Connecticut,Enbrel Sureclick,N,3508,28844425.43,8222.470190992019,26.37593984962406,56447.01649706458,2,1
Connecticut,Fentanyl,Y,10041,1154446.84,114.97329349666369,9.22038567493113,800.0324601524602,1,1
Connecticut,Gammagard Liquid,N,683,8150736.16,11933.727906295755,21.34375,166341.5542857143,3,1
Connecticut,Gammaked,N,229,4115104.67,17969.889388646287,22.9,216584.45631578946,3,1
Connecticut,Gammaplex,N,265,3774839.79,14244.678452830189,12.619047619047619,164123.4691304348,3,1
Connecticut,Gamunex-C,N,1036,10949759.66,10569.266081081081,25.9,147969.72513513514,3,1
Connecticut,Gattex,N,130,6539445.62,50303.42784615385,8.666666666666666,311402.1723809524,3,1
Connecticut,Hydrocodone Bitartrate Er,Y,91,37569.6,412.85274725274724,5.055555555555555,2209.9764705882353,1,1
Connecticut,Hydrocodone-Acetaminophen,Y,65775,1224207.29,18.61204545800076,15.422039859320046,58.14606678065926,1,1
Connecticut,Hydromorphone Er,Y,434,124501.11,286.86891705069127,6.78125,1705.4946575342465,1,1
Connecticut,Hydromorphone Hcl,Y,18376,248790.56,13.538885502829778,6.032829940906106,38.464836116264685,1,1
Connecticut,Hysingla Er,Y,379,249384.02,658.0053298153034,7.150943396226415,5421.391739130435,1,1
Connecticut,Iclusig,N,118,2870420.38,24325.596440677964,6.555555555555555,136686.68476190476,3,1
Connecticut,Idhifa,N,66,2335946.01,35393.12136363636,5.076923076923077,166853.28642857142,3,1
Connecticut,Imbruvica,N,1815,31516731.41,17364.590308539944,14.87704918032787,144572.16243119267,3,1
Connecticut,Jakafi,N,1569,25379936.64,16175.867839388146,13.88495575221239,125643.2506930693,3,1
Connecticut,Kesimpta Pen,N,1028,10089556.93,9814.74409533074,28.555555555555557,74737.45874074074,3,1
Connecticut,Korlym,N,322,7605833.72,23620.60161490683,17.88888888888889,152116.6744,3,1
Connecticut,Levothyroxine Sodium,N,486249,5193135.7,10.679992555254612,78.17508038585208,50.030691047119916,0,1
Connecticut,Lisinopril,N,411531,2784251.47,6.765593527583585,61.23973214285714,27.415652983053853,0,1
